,year,file,industry,sic_code,sic_cat
32,1995,1995-10-06_68813,TELEVISION BROADCASTING STATIONS,4833,Transportation
33,1995,1995-10-12_731841,PATENT OWNERS & LESSORS,6794,"Finance, Insurance and Real Estate"
34,1995,1995-10-13_318380,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
35,1995,1995-10-17_18366,TELEVISION BROADCASTING STATIONS,4833,Transportation
36,1995,1995-10-17_55195,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
37,1995,1995-10-17_840759,AGRICULTURE CHEMICALS,2870,Manufacturing
38,1995,1995-10-26_794620,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
39,1995,1995-11-01_11975,"PENS, PENCILS & OTHER ARTISTS' MATERIALS",3950,Manufacturing
40,1995,1995-11-01_745213,LABORATORY APPARATUS & FURNITURE,3821,Manufacturing
41,1995,1995-11-13_352330,"SERVICES-BUSINESS SERVICES, NEC",7389,Services
42,1995,1995-11-21_277795,"FIRE, MARINE & CASUALTY INSURANCE",6331,"Finance, Insurance and Real Estate"
43,1995,1995-12-04_778107,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",8700,Services
44,1995,1995-12-08_718451,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",7359,Services
45,1995,1995-12-14_276437,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",3420,Manufacturing
46,1995,1995-12-15_2488,SEMICONDUCTORS & RELATED DEVICES,3674,Manufacturing
47,1995,1995-12-21_842679,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",3310,Manufacturing
48,1996,1996-01-02_745651,,9995,Public Administration
49,1996,1996-01-04_354952,COMPUTER STORAGE DEVICES,3572,Manufacturing
50,1996,1996-01-04_792397,COMPUTER STORAGE DEVICES,3572,Manufacturing
51,1996,1996-01-08_814248,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844,Manufacturing
52,1996,1996-01-19_356799,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
53,1996,1996-01-25_846768,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
54,1996,1996-01-30_729069,PHARMACEUTICAL PREPARATIONS,2834,Manufacturing
55,1996,1996-02-01_225998,NATURAL GAS DISTRIBUTION,4924,Transportation
56,1996,1996-02-08_87799,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,5160,Wholesale Trade
57,1996,1996-02-12_34891,PAPERBOARD MILLS,2631,Manufacturing
58,1996,1996-02-12_817632,SERVICES-TELEPHONE INTERCONNECT SYSTEMS,7385,Services
59,1996,1996-02-16_84129,RETAIL-DRUG STORES AND PROPRIETARY STORES,5912,Retail Trade
60,1996,1996-02-23_99830,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
61,1996,1996-02-27_40956,SERVICES-ENGINEERING SERVICES,8711,Services
62,1996,1996-02-29_769409,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373,Services
63,1996,1996-03-01_844162,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
64,1996,1996-03-08_718865,COMPUTER STORAGE DEVICES,3572,Manufacturing
65,1996,1996-03-12_795665,"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577,Manufacturing
66,1996,1996-04-12_719612,SERVICES-PREPACKAGED SOFTWARE,7372,Services
67,1996,1996-04-12_917390,SERVICES-PREPACKAGED SOFTWARE,7372,Services
68,1996,1996-04-16_352425,"MEASURING & CONTROLLING DEVICES, NEC",3829,Manufacturing
69,1996,1996-04-22_836937,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844,Manufacturing
70,1996,1996-04-26_850309,RETAIL-GROCERY STORES,5411,Retail Trade
71,1996,1996-04-29_763043,PHARMACEUTICAL PREPARATIONS,2834,Manufacturing
72,1996,1996-04-29_804752,SERVICES-SOCIAL SERVICES,8300,Services
73,1996,1996-05-03_726608,MISCELLANEOUS MANUFACTURING INDUSTRIES,3990,Manufacturing
74,1996,1996-05-10_744106,AIR COND & WARM AIR HEATING EQUIP & COMM & INDL REFRIG EQUIP,3585,Manufacturing
75,1996,1996-05-10_755499,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990,Services
76,1996,1996-05-10_809066,AIR COND & WARM AIR HEATING EQUIP & COMM & INDL REFRIG EQUIP,3585,Manufacturing
77,1996,1996-05-10_907245,DRILLING OIL & GAS WELLS,1381,Mining
78,1996,1996-05-15_887757,PHARMACEUTICAL PREPARATIONS,2834,Manufacturing
79,1996,1996-05-22_833498,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",3569,Manufacturing
80,1996,1996-05-29_921114,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),2836,Manufacturing
81,1996,1996-06-03_912611,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
82,1996,1996-06-04_799290,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845,Manufacturing
83,1996,1996-06-12_2648,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
84,1996,1996-06-12_53281,RETAIL-EATING PLACES,5812,Retail Trade
85,1996,1996-06-12_711405,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
86,1996,1996-06-12_94855,RETAIL-DEPARTMENT STORES,5311,Retail Trade
87,1996,1996-06-13_2648,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
88,1996,1996-06-13_711405,LIFE INSURANCE,6311,"Finance, Insurance and Real Estate"
89,1996,1996-06-14_880229,SERVICES-PREPACKAGED SOFTWARE,7372,Services
90,1996,1996-06-21_864683,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841,Manufacturing
91,1996,1996-06-24_702808,RADIO BROADCASTING STATIONS,4832,Transportation
92,1996,1996-06-28_793245,ASSET-BACKED SECURITIES,6189,"Finance, Insurance and Real Estate"
93,1996,1996-07-01_817366,AGRICULTURE SERVICES,700,Agriculture
94,1996,1996-07-01_912045,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
95,1996,1996-07-01_912564,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
96,1996,1996-07-02_912548,SERVICES-PREPACKAGED SOFTWARE,7372,Services
97,1996,1996-07-15_1001592,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,7812,Services
98,1996,1996-07-18_812699,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
99,1996,1996-07-18_870764,RADIO TELEPHONE COMMUNICATIONS,4812,Transportation
100,1996,1996-07-22_28866,OIL AND GAS FIELD EXPLORATION SERVICES,1382,Mining
101,1996,1996-07-25_1010138,PATENT OWNERS & LESSORS,6794,"Finance, Insurance and Real Estate"
102,1996,1996-07-25_874445,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370,Services
103,1996,1996-07-25_928697,HOTELS & MOTELS,7011,Services
104,1996,1996-07-26_920984,SERVICES-PREPACKAGED SOFTWARE,7372,Services
105,1996,1996-07-29_943820,"SERVICES-BUSINESS SERVICES, NEC",7389,Services
106,1996,1996-07-30_865436,RETAIL-GROCERY STORES,5411,Retail Trade
107,1996,1996-08-01_915661,PATENT OWNERS & LESSORS,6794,"Finance, Insurance and Real Estate"
108,1996,1996-08-02_320186,DRILLING OIL & GAS WELLS,1381,Mining
109,1996,1996-08-05_320185,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841,Manufacturing
110,1996,1996-08-05_42872,CHEMICALS & ALLIED PRODUCTS,2800,Manufacturing
111,1996,1996-08-06_1001627,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
112,1996,1996-08-09_914244,MISCELLANEOUS BUSINESS CREDIT INSTITUTION,6159,"Finance, Insurance and Real Estate"
113,1996,1996-08-13_65596,RETAIL-FURNITURE STORES,5712,Retail Trade
114,1996,1996-08-14_1003084,NATIONAL COMMERCIAL BANKS,6021,"Finance, Insurance and Real Estate"
115,1996,1996-08-22_906469,HEAVY CONSTRUCTION OTHER THAN BUILDING CONST - CONTRACTORS,1600,Construction
116,1996,1996-08-23_810587,REAL ESTATE,6500,"Finance, Insurance and Real Estate"
117,1996,1996-08-23_832775,REAL ESTATE,6500,"Finance, Insurance and Real Estate"
118,1996,1996-08-23_850142,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,6510,"Finance, Insurance and Real Estate"
119,1996,1996-08-23_852748,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
120,1996,1996-08-23_878657,REAL ESTATE,6500,"Finance, Insurance and Real Estate"
121,1996,1996-08-27_28345,"SOAP, DETERGENT, CLEANING PREPARATIONS, PERFUMES, COSMETICS",2840,Manufacturing
122,1996,1996-08-28_26361,DENTAL EQUIPMENT & SUPPLIES,3843,Manufacturing
123,1996,1996-08-29_701709,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
124,1996,1996-09-06_56252,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS",2340,Manufacturing
125,1996,1996-09-06_87097,MANIFOLD BUSINESS FORMS,2761,Manufacturing
126,1996,1996-09-12_868326,"SPECIAL INDUSTRY MACHINERY, NEC",3559,Manufacturing
127,1996,1996-09-16_732712,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),4813,Transportation
128,1996,1996-09-16_732714,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),4813,Transportation
129,1996,1996-09-17_100240,TELEVISION BROADCASTING STATIONS,4833,Transportation
130,1996,1996-09-23_64807,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844,Manufacturing
131,1996,1996-09-23_799690,ASSET-BACKED SECURITIES,6189,"Finance, Insurance and Real Estate"
132,1996,1996-09-23_822522,ASSET-BACKED SECURITIES,6189,"Finance, Insurance and Real Estate"
133,1996,1996-09-25_746712,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",8093,Services
134,1996,1996-09-27_917079,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,7812,Services
135,1996,1996-09-30_783739,NATIONAL COMMERCIAL BANKS,6021,"Finance, Insurance and Real Estate"
136,1996,1996-10-04_76741,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",7320,Services
137,1996,1996-10-04_845812,TELEVISION BROADCASTING STATIONS,4833,Transportation
138,1996,1996-10-08_92066,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
139,1996,1996-10-18_882304,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090,Services
140,1996,1996-10-21_879041,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036,"Finance, Insurance and Real Estate"
141,1996,1996-10-21_885638,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
142,1996,1996-10-30_84636,GUIDED MISSILES & SPACE VEHICLES & PARTS,3760,Manufacturing
143,1996,1996-11-01_736970,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842,Manufacturing
144,1996,1996-11-06_894010,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES,5040,Wholesale Trade
145,1996,1996-11-07_1010937,SERVICES-HEALTH SERVICES,8000,Services
146,1996,1996-11-08_50977,RADIO TELEPHONE COMMUNICATIONS,4812,Transportation
147,1996,1996-11-12_933136,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036,"Finance, Insurance and Real Estate"
148,1996,1996-11-12_949058,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
149,1996,1996-11-14_811714,RADIO BROADCASTING STATIONS,4832,Transportation
150,1996,1996-11-15_840016,NATIONAL COMMERCIAL BANKS,6021,"Finance, Insurance and Real Estate"
151,1996,1996-11-18_846931,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
152,1996,1996-11-19_898623,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),4813,Transportation
153,1996,1996-11-20_36537,AGRICULTURE CHEMICALS,2870,Manufacturing
154,1996,1996-11-20_37481,SERVICES-EDUCATIONAL SERVICES,8200,Services
155,1996,1996-11-20_66895,AGRICULTURE CHEMICALS,2870,Manufacturing
156,1996,1996-11-20_891103,TELEVISION BROADCASTING STATIONS,4833,Transportation
157,1996,1996-11-21_837942,"FIRE, MARINE & CASUALTY INSURANCE",6331,"Finance, Insurance and Real Estate"
158,1996,1996-11-22_755659,SERVICES-PREPACKAGED SOFTWARE,7372,Services
159,1996,1996-11-25_897732,"RAILROADS, LINE-HAUL OPERATING",4011,Transportation
160,1996,1996-11-27_32198,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663,Manufacturing
161,1996,1996-11-27_944740,SERVICES-PREPACKAGED SOFTWARE,7372,Services
162,1996,1996-11-29_910648,ACCIDENT & HEALTH INSURANCE,6321,"Finance, Insurance and Real Estate"
163,1996,1996-11-29_929989,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
164,1996,1996-12-03_5513,ACCIDENT & HEALTH INSURANCE,6321,"Finance, Insurance and Real Estate"
165,1996,1996-12-06_848865,REFUSE SYSTEMS,4953,Transportation
166,1996,1996-12-23_929989,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
167,1997,1997-01-10_949008,RETAIL-CATALOG & MAIL-ORDER HOUSES,5961,Retail Trade
168,1997,1997-01-16_885376,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663,Manufacturing
169,1997,1997-01-21_702147,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
170,1997,1997-01-21_889927,"COMMUNICATIONS EQUIPMENT, NEC",3669,Manufacturing
171,1997,1997-01-21_890575,OPERATIVE BUILDERS,1531,Construction
172,1997,1997-01-21_933161,"COMMUNICATIONS EQUIPMENT, NEC",3669,Manufacturing
173,1997,1997-01-22_700613,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
174,1997,1997-01-30_354992,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,3560,Manufacturing
175,1997,1997-02-06_75527,NATURAL GAS DISTRIBUTION,4924,Transportation
176,1997,1997-02-06_940170,ELECTRIC SERVICES,4911,Transportation
177,1997,1997-02-10_73960,ELECTRIC SERVICES,4911,Transportation
178,1997,1997-02-12_774197,ELECTRIC SERVICES,4911,Transportation
179,1997,1997-02-21_790523,WATER SUPPLY,4941,Transportation
180,1997,1997-02-25_944399,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
181,1997,1997-02-26_880581,CABLE & OTHER PAY TELEVISION SERVICES,4841,Transportation
182,1997,1997-02-27_278166,MOBILE HOMES,2451,Manufacturing
183,1997,1997-03-04_1020905,SERVICES-AMUSEMENT & RECREATION SERVICES,7900,Services
184,1997,1997-03-04_882238,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841,Manufacturing
185,1997,1997-03-06_928156,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",5200,Retail Trade
186,1997,1997-03-12_750457,REAL ESTATE,6500,"Finance, Insurance and Real Estate"
187,1997,1997-03-12_814433,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
188,1997,1997-03-12_820390,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
189,1997,1997-03-19_351991,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
190,1997,1997-03-28_773136,SERVICES-HOSPITALS,8060,Services
191,1997,1997-03-28_913666,MISCELLANEOUS PLASTIC PRODUCTS,3080,Manufacturing
192,1997,1997-03-28_932275,SERVICES-HEALTH SERVICES,8000,Services
193,1997,1997-03-31_805730,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
194,1997,1997-03-31_930836,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
195,1997,1997-04-14_789625,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211,"Finance, Insurance and Real Estate"
196,1997,1997-04-14_895421,ASSET-BACKED SECURITIES,6189,"Finance, Insurance and Real Estate"
197,1997,1997-04-17_931134,"COMMUNICATION SERVICES, NEC",4899,Transportation
198,1997,1997-04-24_60876,,3949,Manufacturing
199,1997,1997-04-28_742356,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
200,1997,1997-04-28_785037,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663,Manufacturing
201,1997,1997-04-28_892291,OPERATORS OF APARTMENT BUILDINGS,6513,"Finance, Insurance and Real Estate"
202,1997,1997-04-28_906107,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
203,1997,1997-04-29_812488,INVESTMENT ADVICE,6282,"Finance, Insurance and Real Estate"
204,1997,1997-04-30_848448,GOLD & SILVER ORES,1040,Mining
205,1997,1997-05-01_931073,"RETAIL-RETAIL STORES, NEC",5990,Retail Trade
206,1997,1997-05-06_351810,COMPUTER STORAGE DEVICES,3572,Manufacturing
207,1997,1997-05-06_97726,"PLASTICS PRODUCTS, NEC",3089,Manufacturing
208,1997,1997-05-09_866048,"RETAIL-RETAIL STORES, NEC",5990,Retail Trade
209,1997,1997-05-12_785994,OPERATORS OF NONRESIDENTIAL BUILDINGS,6512,"Finance, Insurance and Real Estate"
210,1997,1997-05-12_872653,HOSPITAL & MEDICAL SERVICE PLANS,6324,"Finance, Insurance and Real Estate"
211,1997,1997-05-12_933353,TELEPHONE & TELEGRAPH APPARATUS,3661,Manufacturing
212,1997,1997-05-12_942790,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036,"Finance, Insurance and Real Estate"
213,1997,1997-05-16_886033,COMPUTER COMMUNICATIONS EQUIPMENT,3576,Manufacturing
214,1997,1997-05-21_773468,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
215,1997,1997-05-30_96277,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES),2670,Manufacturing
216,1997,1997-06-02_312835,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845,Manufacturing
217,1997,1997-06-02_948085,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
218,1997,1997-06-06_850316,RETAIL-VARIETY STORES,5331,Retail Trade
219,1997,1997-06-09_909725,HOTELS & MOTELS,7011,Services
220,1997,1997-06-10_855645,NATIONAL COMMERCIAL BANKS,6021,"Finance, Insurance and Real Estate"
221,1997,1997-06-19_759855,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990,Services
222,1997,1997-06-20_12927,AIRCRAFT,3721,Manufacturing
223,1997,1997-06-20_63917,AIRCRAFT,3721,Manufacturing
224,1997,1997-06-26_1010917,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841,Manufacturing
225,1997,1997-06-27_355690,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
226,1997,1997-06-27_877930,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
227,1997,1997-07-01_6082,MOTORS & GENERATORS,3621,Manufacturing
228,1997,1997-07-01_855587,HOSPITAL & MEDICAL SERVICE PLANS,6324,"Finance, Insurance and Real Estate"
229,1997,1997-07-09_920612,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036,"Finance, Insurance and Real Estate"
230,1997,1997-07-18_841466,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,Services
231,1997,1997-07-21_725457,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,4412,Transportation
232,1997,1997-07-21_878658,TELEVISION BROADCASTING STATIONS,4833,Transportation
233,1997,1997-07-24_887784,SERVICES-PREPACKAGED SOFTWARE,7372,Services
234,1997,1997-07-25_823768,REFUSE SYSTEMS,4953,Transportation
235,1997,1997-07-25_879688,REFUSE SYSTEMS,4953,Transportation
236,1997,1997-07-28_913888,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION,7819,Services
237,1997,1997-07-29_874038,SERVICES-HOME HEALTH CARE SERVICES,8082,Services
238,1997,1997-07-29_898612,"FIRE, MARINE & CASUALTY INSURANCE",6331,"Finance, Insurance and Real Estate"
239,1997,1997-07-30_315180,ELECTRONIC COMPUTERS,3571,Manufacturing
240,1997,1997-08-04_38868,RETAIL-APPAREL & ACCESSORY STORES,5600,Retail Trade
241,1997,1997-08-04_818456,COMPUTER COMMUNICATIONS EQUIPMENT,3576,Manufacturing
242,1997,1997-08-04_894972,RADIO BROADCASTING STATIONS,4832,Transportation
243,1997,1997-08-07_865436,RETAIL-GROCERY STORES,5411,Retail Trade
244,1997,1997-08-12_792360,STATE COMMERCIAL BANKS,6022,"Finance, Insurance and Real Estate"
245,1997,1997-08-13_921152,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
246,1997,1997-08-19_778165,METAL MINING,1000,Mining
247,1997,1997-08-22_62234,HOTELS & MOTELS,7011,Services
248,1997,1997-08-25_835715,ELECTRIC SERVICES,4911,Transportation
249,1997,1997-08-28_891104,PATENT OWNERS & LESSORS,6794,"Finance, Insurance and Real Estate"
250,1997,1997-08-29_811220,BLANK CHECKS,6770,"Finance, Insurance and Real Estate"
251,1997,1997-09-04_745113,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),5172,Wholesale Trade
252,1997,1997-09-05_1042811,RETAIL-GROCERY STORES,5411,Retail Trade
253,1997,1997-09-05_812591,HOTELS & MOTELS,7011,Services
254,1997,1997-09-05_885640,RETAIL-EATING PLACES,5812,Retail Trade
255,1997,1997-09-22_1000228,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES",5047,Wholesale Trade
256,1997,1997-09-22_861290,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES",5047,Wholesale Trade
257,1997,1997-09-22_916797,PRINTED CIRCUIT BOARDS,3672,Manufacturing
258,1997,1997-09-26_904009,"PENS, PENCILS & OTHER ARTISTS' MATERIALS",3950,Manufacturing
259,1997,1997-09-30_1022664,CRUDE PETROLEUM & NATURAL GAS,1311,Mining
260,1997,1997-10-02_58696,OPERATIVE BUILDERS,1531,Construction
261,1997,1997-10-02_920760,GEN BUILDING CONTRACTORS - RESIDENTIAL BUILDINGS,1520,Construction
262,1997,1997-10-06_916395,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035,"Finance, Insurance and Real Estate"
263,1997,1997-10-10_729970,RETAIL-GROCERY STORES,5411,Retail Trade
264,1997,1997-10-14_868207,INVESTMENT ADVICE,6282,"Finance, Insurance and Real Estate"
265,1997,1997-10-14_887429,REAL ESTATE INVESTMENT TRUSTS,6798,"Finance, Insurance and Real Estate"
266,1997,1997-10-17_1018099,"PLASTICS, MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",2821,Manufacturing
267,1997,1997-10-17_842635,"PLASTICS, MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",2821,Manufacturing
268,1997,1997-10-22_81057,BOTTLED & CANNED SOFT DRINKS CARBONATED WATERS,2086,Manufacturing
269,1997,1997-10-22_945093,SERVICES-PREPACKAGED SOFTWARE,7372,Services
270,1997,1997-10-24_200245,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211,"Finance, Insurance and Real Estate"
271,1997,1997-10-27_15354,"ELECTRONIC COMPONENTS, NEC",3679,Manufacturing
272,1997,1997-10-27_217028,PHARMACEUTICAL PREPARATIONS,2834,Manufacturing
273,1997,1997-10-27_885378,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373,Services
274,1997,1997-10-28_796333,REAL ESTATE,6500,"Finance, Insurance and Real Estate"
275,1997,1997-10-30_1005974,SERVICES-TELEPHONE INTERCONNECT SYSTEMS,7385,Services
276,1997,1997-10-31_866752,AGRICULTURE CHEMICALS,2870,Manufacturing
277,1997,1997-11-03_764037,ELECTRONIC COMPUTERS,3571,Manufacturing
278,1997,1997-11-04_1001289,"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577,Manufacturing
